table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,imagenet,ViT-B/16,4,1,8,q,both,all,0.25,FAILED,FAILED,2026-06-15T13:27:17,2
fig3,imagenet,ViT-B/16,4,1,8,v,vision,all,0.25,FAILED,FAILED,2026-06-15T13:27:20,3
fig3,imagenet,ViT-B/16,4,1,8,v,text,all,0.25,FAILED,FAILED,2026-06-15T13:27:23,3
fig3,imagenet,ViT-B/16,4,1,8,v,both,all,0.25,FAILED,FAILED,2026-06-15T13:27:26,2
fig3,imagenet,ViT-B/16,4,1,8,o,vision,all,0.25,FAILED,FAILED,2026-06-15T13:27:28,16
fig3,imagenet,ViT-B/16,4,1,8,o,text,all,0.25,FAILED,FAILED,2026-06-15T13:27:44,2
fig3,imagenet,ViT-B/16,4,1,8,o,both,all,0.25,FAILED,FAILED,2026-06-15T13:27:46,3
fig3,imagenet,ViT-B/16,4,1,8,q_v,vision,all,0.25,FAILED,FAILED,2026-06-15T13:27:49,3
fig3,imagenet,ViT-B/16,4,1,8,q_v,text,all,0.25,FAILED,FAILED,2026-06-15T13:27:52,3
fig3,imagenet,ViT-B/16,4,1,8,q_v,both,all,0.25,FAILED,FAILED,2026-06-15T13:27:55,3
fig3,imagenet,ViT-B/16,4,1,8,q_v_k,vision,all,0.25,FAILED,FAILED,2026-06-15T13:27:58,2
fig3,imagenet,ViT-B/16,4,1,8,q_v_k,text,all,0.25,FAILED,FAILED,2026-06-15T13:28:00,3
fig3,imagenet,ViT-B/16,4,1,8,q_v_k,both,all,0.25,FAILED,FAILED,2026-06-15T13:28:03,3
fig3,imagenet,ViT-B/16,4,1,8,q_v_k_o,vision,all,0.25,FAILED,FAILED,2026-06-15T13:28:06,2
fig3,imagenet,ViT-B/16,4,1,4,k,vision,all,0.25,68.78.,OK,2026-06-15T13:30:51,539
fig3,imagenet,ViT-B/16,4,1,4,k,text,all,0.25,70.57.,OK,2026-06-15T13:39:50,1534
fig3,imagenet,ViT-B/16,4,1,4,k,both,all,0.25,70.93.,OK,2026-06-15T14:05:24,1582
fig3,imagenet,ViT-B/16,4,1,4,q,vision,all,0.25,69.22.,OK,2026-06-15T14:31:46,494
fig3,imagenet,ViT-B/16,4,1,4,q,text,all,0.25,70.62.,OK,2026-06-15T14:40:00,1534
fig3,imagenet,ViT-B/16,4,1,4,q,both,all,0.25,71.18.,OK,2026-06-15T15:05:34,1643
fig3,imagenet,ViT-B/16,4,1,4,v,vision,all,0.25,69.64.,OK,2026-06-15T15:32:57,511
fig3,imagenet,ViT-B/16,4,1,4,v,text,all,0.25,70.99.,OK,2026-06-15T15:41:28,1554
fig3,imagenet,ViT-B/16,4,1,4,v,both,all,0.25,71.37.,OK,2026-06-15T16:07:22,1594
fig3,imagenet,ViT-B/16,4,1,4,o,vision,all,0.25,69.84.,OK,2026-06-15T16:33:56,475
fig3,imagenet,ViT-B/16,4,1,4,o,text,all,0.25,71.00.,OK,2026-06-15T16:41:51,1472
fig3,imagenet,ViT-B/16,4,1,4,o,both,all,0.25,71.41.,OK,2026-06-15T17:06:23,1621
fig3,imagenet,ViT-B/16,4,1,4,q_v,vision,all,0.25,70.05.,OK,2026-06-15T17:33:24,478
fig3,imagenet,ViT-B/16,4,1,4,q_v,text,all,0.25,70.99.,OK,2026-06-15T17:41:22,1524
fig3,imagenet,ViT-B/16,4,1,4,q_v,both,all,0.25,71.56.,OK,2026-06-15T18:06:47,1647
fig3,imagenet,ViT-B/16,4,1,4,q_v_k,vision,all,0.25,70.24.,OK,2026-06-15T18:34:14,485
fig3,imagenet,ViT-B/16,4,1,4,q_v_k,text,all,0.25,71.12.,OK,2026-06-15T18:42:19,1597
fig3,imagenet,ViT-B/16,4,1,4,q_v_k,both,all,0.25,71.51.,OK,2026-06-15T19:08:56,1730
fig3,imagenet,ViT-B/16,4,1,4,q_v_k_o,vision,all,0.25,70.28.,OK,2026-06-15T19:37:46,496
fig3,imagenet,ViT-B/16,4,1,4,q_v_k_o,text,all,0.25,70.93.,OK,2026-06-15T19:46:02,1671
fig3,imagenet,ViT-B/16,4,1,4,q_v_k_o,both,all,0.25,71.32.,OK,2026-06-15T20:13:53,1816
fig3,imagenet,ViT-B/16,4,1,8,k,vision,all,0.25,68.76.,OK,2026-06-15T20:44:09,474
fig3,imagenet,ViT-B/16,4,1,8,k,text,all,0.25,70.89.,OK,2026-06-15T20:52:03,1451
fig3,imagenet,ViT-B/16,4,1,8,k,both,all,0.25,71.04.,OK,2026-06-15T21:16:14,1545
