table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
fig3,imagenet,ViT-B/16,4,32,q_v_k_o,text,all,1,69.94,0.0,1754,1754,1
fig3,imagenet,ViT-B/16,4,32,q_v_k_o,vision,all,1,69.95,0.0,499,499,1
fig3,imagenet,ViT-B/16,4,32,v,both,all,1,71.29,0.0,1626,1626,1
fig3,imagenet,ViT-B/16,4,32,v,text,all,1,71.01,0.0,1596,1596,1
fig3,imagenet,ViT-B/16,4,32,v,vision,all,1,69.79,0.0,495,495,1
fig3,stanford_cars,ViT-B/16,4,1,k,both,all,1,73.16,0.0,492,492,1
fig3,stanford_cars,ViT-B/16,4,1,k,text,all,1,71.62,0.0,396,396,1
fig3,stanford_cars,ViT-B/16,4,1,k,vision,all,1,68.3,0.0,270,270,1
fig3,stanford_cars,ViT-B/16,4,1,o,both,all,1,75.72,0.0,491,491,1
fig3,stanford_cars,ViT-B/16,4,1,o,text,all,1,73.85,0.0,387,387,1
fig3,stanford_cars,ViT-B/16,4,1,o,vision,all,1,70.3,0.0,265,265,1
fig3,stanford_cars,ViT-B/16,4,1,q,both,all,1,74.51,0.0,499,499,1
fig3,stanford_cars,ViT-B/16,4,1,q,text,all,1,73.16,0.0,394,394,1
fig3,stanford_cars,ViT-B/16,4,1,q,vision,all,1,68.82,0.0,271,271,1
fig3,stanford_cars,ViT-B/16,4,1,q_v,both,all,1,76.04,0.0,523,523,1
fig3,stanford_cars,ViT-B/16,4,1,q_v,text,all,1,75.08,0.0,404,404,1
fig3,stanford_cars,ViT-B/16,4,1,q_v,vision,all,1,71.02,0.0,276,276,1
fig3,stanford_cars,ViT-B/16,4,1,q_v_k,both,all,1,76.45,0.0,557,557,1
fig3,stanford_cars,ViT-B/16,4,1,q_v_k,text,all,1,75.41,0.0,426,426,1
fig3,stanford_cars,ViT-B/16,4,1,q_v_k,vision,all,1,71.91,0.0,288,288,1
fig3,stanford_cars,ViT-B/16,4,1,q_v_k_o,both,all,1,76.84,0.0,583,583,1
fig3,stanford_cars,ViT-B/16,4,1,q_v_k_o,text,all,1,74.95,0.0,443,443,1
fig3,stanford_cars,ViT-B/16,4,1,q_v_k_o,vision,all,1,71.43,0.0,305,305,1
fig3,stanford_cars,ViT-B/16,4,1,v,both,all,1,74.61,0.0,492,492,1
fig3,stanford_cars,ViT-B/16,4,1,v,text,all,1,73.64,0.0,393,393,1
fig3,stanford_cars,ViT-B/16,4,1,v,vision,all,1,70.2,0.0,264,264,1
fig3,stanford_cars,ViT-B/16,4,2,k,both,all,1,74.28,0.0,495,495,1
fig3,stanford_cars,ViT-B/16,4,2,k,text,all,1,72.44,0.0,395,395,1
fig3,stanford_cars,ViT-B/16,4,2,k,vision,all,1,68.62,0.0,264,264,1
fig3,stanford_cars,ViT-B/16,4,2,o,both,all,1,75.51,0.0,496,496,1
fig3,stanford_cars,ViT-B/16,4,2,o,text,all,1,74.8,0.0,396,396,1
fig3,stanford_cars,ViT-B/16,4,2,o,vision,all,1,70.82,0.0,264,264,1
fig3,stanford_cars,ViT-B/16,4,2,q,both,all,1,74.67,0.0,495,495,1
fig3,stanford_cars,ViT-B/16,4,2,q,text,all,1,73.55,0.0,393,393,1
fig3,stanford_cars,ViT-B/16,4,2,q,vision,all,1,68.78,0.0,265,265,1
fig3,stanford_cars,ViT-B/16,4,2,q_k_v,both,all,1,76.37,0.0,553,553,1
fig3,stanford_cars,ViT-B/16,4,2,q_k_v,both,bottom,1,75.41,0.0,512,512,1
fig3,stanford_cars,ViT-B/16,4,2,q_k_v,both,up,1,75.13,0.0,363,363,1
fig3,stanford_cars,ViT-B/16,4,2,q_v,both,all,1,76.78,0.0,530,530,1
